"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2165000,0.0352845,0.0005992,0.0015084,0.0007460,0.0008558,0.0030504,0.0205836,0.0025132,0.0016152,0.0014907,0.0017464,0.0010891,0.0015673,0.0024523,0.0013570,0.0068801,0.0064412,0.3584190,0.0665687,0.0231264,0.0088290,0.0058246,0.0008849,0.0145227,0.0082361,0.0008869,0.0020661,0.0033755,0.0011297,0.0012209,0.0005266,0.0010815,0.0009354,0.0008097,0.0006301,0.0007081,0.0013961,0.0006320,0.0011179,0.0010114,0.0005359,0.0013661,0.0012328,0.0006900,0.0005728,0.0006689,0.0002078,0.0017634,0.0007827,0.0007325,0.0007833,0.0017844,0.0009850,0.0024260,0.0016619,0.0100423,0.0016398,0.0069030,0.0105724,0.0103011,0.0030033,0.0090907,0.0079814,0.0419820,0.0013190,0.0015864,-0.0067654,0.0019332,0.0084283,0.0012200
113FF,"Forestry, fishing, and related activities",0.0828309,1.1460800,0.0003820,0.0019129,0.0004627,0.0005625,0.0063016,0.1672180,0.0024424,0.0019603,0.0015151,0.0021824,0.0014046,0.0020889,0.0034988,0.0013832,0.0201017,0.0049794,0.0353152,0.0062778,0.0057062,0.0367219,0.0056407,0.0004648,0.0032075,0.0152605,0.0007524,0.0006165,0.0026746,0.0005823,0.0007943,0.0005296,0.0047694,0.0006301,0.0007597,0.0006038,0.0008666,0.0011506,0.0006394,0.0013030,0.0007328,0.0006167,0.0023623,0.0006532,0.0006631,0.0003427,0.0005292,0.0003969,0.0016158,0.0009803,0.0004300,0.0003938,0.0009485,0.0005662,0.0009523,0.0011135,0.0019321,0.0009429,0.0018256,0.0024574,0.0024609,0.0008237,0.0026371,0.0038218,0.0129248,0.0008815,0.0006604,0.0001254,0.0007755,0.0022363,0.0015373
211,Oil and gas extraction,0.0750965,0.0372209,1.1942400,0.0868901,0.0226209,0.2492810,0.0433993,0.0392424,0.0516402,0.0518390,0.0316208,0.0289079,0.0166171,0.0355504,0.0283511,0.0188480,0.0315969,0.0260466,0.0464409,0.0561925,0.0235442,0.0526315,0.0406435,0.7815160,0.0909841,0.0605848,0.0126776,0.0115342,0.0198078,0.0161633,0.0143679,0.1865590,0.1265330,0.1633710,0.1409260,0.0662398,0.2287510,0.0654306,0.0222698,0.0111554,0.0084636,0.0078617,0.0129579,0.0095998,0.0115888,0.0042535,0.0086934,0.0024805,0.0363449,0.0108425,0.0066729,0.0061733,0.0116449,0.0137293,0.0146907,0.0316704,0.0226082,0.0140644,0.0215554,0.0214115,0.0173190,0.0135662,0.0209736,0.0271555,0.0224281,0.0140719,0.0470270,0.0134056,0.0456543,0.0499452,0.1222320
212,"Mining, except oil and gas",0.0133515,0.0025323,0.0030292,1.1057200,0.0029337,0.0187475,0.0200528,0.0075999,0.1011010,0.1282460,0.0378362,0.0237425,0.0089868,0.0310695,0.0231681,0.0144343,0.0130659,0.0138856,0.0115539,0.0105825,0.0041817,0.0206218,0.0057936,0.0050681,0.0138395,0.0116235,0.0016005,0.0016499,0.0026182,0.0020189,0.0023519,0.0026162,0.0054348,0.0045784,0.0031876,0.0025461,0.0043550,0.0033232,0.0031956,0.0020942,0.0017201,0.0026718,0.0035149,0.0013791,0.0021361,0.0007592,0.0015864,0.0010114,0.0105842,0.0028281,0.0013887,0.0011145,0.0034284,0.0021315,0.0024650,0.0069297,0.0045200,0.0028415,0.0030866,0.0033140,0.0036307,0.0035829,0.0068304,0.0034849,0.0048357,0.0038188,0.0028473,0.0039270,0.0023439,0.0032150,0.0262621
213,Support activities for mining,0.0018409,0.0008683,0.0248506,0.0192377,1.0137100,0.0055580,0.0013842,0.0010920,0.0028172,0.0032673,0.0015735,0.0012546,0.0006189,0.0014726,0.0012341,0.0008028,0.0010304,0.0008821,0.0012558,0.0014192,0.0006181,0.0015446,0.0010216,0.0163248,0.0021868,0.0015766,0.0003673,0.0003066,0.0004928,0.0004237,0.0003902,0.0041863,0.0027623,0.0038018,0.0032810,0.0014815,0.0049627,0.0043312,0.0005877,0.0003418,0.0002575,0.0002561,0.0004163,0.0002459,0.0003325,0.0001175,0.0002457,0.0000766,0.0009657,0.0003114,0.0001815,0.0001671,0.0003687,0.0003501,0.0003868,0.0009027,0.0005798,0.0003681,0.0005327,0.0005264,0.0004716,0.0003850,0.0005862,0.0006619,0.0006019,0.0003983,0.0010768,0.0003671,0.0010257,0.0011176,0.0030639
22,Utilities,0.0280888,0.0074985,0.0125756,0.0326603,0.0058158,1.0173300,0.0139584,0.0302837,0.0568567,0.0516432,0.0321571,0.0240109,0.0160666,0.0267338,0.0257398,0.0181319,0.0256740,0.0202552,0.0316497,0.0423774,0.0215575,0.0617377,0.0279157,0.0145782,0.0433313,0.0390734,0.0120841,0.0137207,0.0347413,0.0243976,0.0215291,0.0093848,0.0081799,0.0291833,0.0123179,0.0189119,0.0167963,0.0172652,0.0372030,0.0093147,0.0084818,0.0102312,0.0129137,0.0079083,0.0135801,0.0046820,0.0098724,0.0011711,0.0917606,0.0095134,0.0096100,0.0063586,0.0129266,0.0178055,0.0093456,0.0162104,0.0473333,0.0146474,0.0194884,0.0270083,0.0210323,0.0167021,0.0252237,0.0353821,0.0263842,0.0168707,0.0099497,0.0079722,0.0212521,0.0168968,0.0149433
23,Construction,0.0160372,0.0046009,0.0266677,0.0250663,0.0080528,0.0273711,1.0057300,0.0102561,0.0141430,0.0146048,0.0102561,0.0086719,0.0064501,0.0089213,0.0085216,0.0064517,0.0089368,0.0073328,0.0115514,0.0107589,0.0071272,0.0140193,0.0104219,0.0258620,0.0109579,0.0111008,0.0067045,0.0070305,0.0128357,0.0095534,0.0117440,0.0109410,0.0187256,0.0131287,0.0115408,0.0208462,0.0492085,0.0177403,0.0144916,0.0049701,0.0052357,0.0079349,0.0068350,0.0123771,0.0104522,0.0031566,0.0080759,0.0439248,0.0653181,0.0056754,0.0066179,0.0036121,0.0078668,0.0076177,0.0054257,0.0071599,0.0118248,0.0082132,0.0075615,0.0133305,0.0137981,0.0096608,0.0108703,0.0153845,0.0107127,0.0124257,0.0111391,0.0121785,0.0280036,0.0165055,0.1460290
321,Wood products,0.0054429,0.0110092,0.0016600,0.0042586,0.0017064,0.0020906,0.0422697,1.2727300,0.0088279,0.0072382,0.0047316,0.0078559,0.0054324,0.0068277,0.0147275,0.0046503,0.1329070,0.0129278,0.0055559,0.0046066,0.0027636,0.0401758,0.0064243,0.0017100,0.0036535,0.0138376,0.0028777,0.0020007,0.0048996,0.0022045,0.0030761,0.0015352,0.0345175,0.0020287,0.0028082,0.0019851,0.0036631,0.0029988,0.0027433,0.0031121,0.0028999,0.0026214,0.0141904,0.0016226,0.0021520,0.0007762,0.0016067,0.0025682,0.0084463,0.0051295,0.0012275,0.0009276,0.0024221,0.0015865,0.0027281,0.0032603,0.0024358,0.0023660,0.0023356,0.0022977,0.0080741,0.0023260,0.0037453,0.0064214,0.0083135,0.0025173,0.0018965,0.0018506,0.0022562,0.0046503,0.0082252
327,Nonmetallic mineral products,0.0038808,0.0018837,0.0036980,0.0079236,0.0042549,0.0036110,0.0583182,0.0218343,1.1565100,0.0213449,0.0126872,0.0153106,0.0069985,0.0221938,0.0250584,0.0071511,0.0119453,0.0102049,0.0124589,0.0090470,0.0042002,0.0066845,0.0033691,0.0051926,0.0064800,0.0145950,0.0015702,0.0028495,0.0024844,0.0016224,0.0025974,0.0023912,0.0034980,0.0032049,0.0030229,0.0027049,0.0048888,0.0031301,0.0025658,0.0016760,0.0014287,0.0035879,0.0103171,0.0018729,0.0022642,0.0008056,0.0017227,0.0026911,0.0057297,0.0022994,0.0011900,0.0012353,0.0052743,0.0020859,0.0034564,0.0052592,0.0029248,0.0051390,0.0038876,0.0033681,0.0043781,0.0019807,0.0037914,0.0032242,0.0108720,0.0043011,0.0027326,0.0029370,0.0029009,0.0030974,0.0186654
