"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2700500,0.0370074,0.0010136,0.0027128,0.0018341,0.0010972,0.0037534,0.0220809,0.0044167,0.0031437,0.0034483,0.0035718,0.0012756,0.0032122,0.0045463,0.0024259,0.0082214,0.0062058,0.4072410,0.0678784,0.0223211,0.0130555,0.0086632,0.0012963,0.0346594,0.0178293,0.0013801,0.0025057,0.0029224,0.0014478,0.0017335,0.0014433,0.0014147,0.0021641,0.0016525,0.0009977,0.0006035,0.0026432,0.0012887,0.0014494,0.0008360,0.0015684,0.0024339,0.0014539,0.0014838,0.0010466,0.0010855,0.0002812,0.0024884,0.0015716,0.0013704,0.0011639,0.0030359,0.0019629,0.0028396,0.0030031,0.0168410,0.0032340,0.0088393,0.0154307,0.0143709,0.0060952,0.0146763,0.0120204,0.0552069,0.0023258,0.0028707,-0.0002687,0.0106152,0.0101143,0.0020354
113FF,"Forestry, fishing, and related activities",0.0805229,1.1409800,0.0002956,0.0015282,0.0006471,0.0003825,0.0044314,0.1554530,0.0020279,0.0019949,0.0016517,0.0021754,0.0006500,0.0019546,0.0031225,0.0012918,0.0179241,0.0044207,0.0358231,0.0061657,0.0077401,0.0313470,0.0039964,0.0003768,0.0039462,0.0144331,0.0007804,0.0007343,0.0032471,0.0005601,0.0008437,0.0005019,0.0030584,0.0007147,0.0008127,0.0004815,0.0004335,0.0012290,0.0007548,0.0007437,0.0004121,0.0007887,0.0022417,0.0004659,0.0005845,0.0003705,0.0004002,0.0003705,0.0012089,0.0013653,0.0004620,0.0003906,0.0010134,0.0006529,0.0009731,0.0011398,0.0023252,0.0008999,0.0019607,0.0028849,0.0023202,0.0009641,0.0031105,0.0039601,0.0135726,0.0009210,0.0006547,0.0003803,0.0020979,0.0020853,0.0012401
211,Oil and gas extraction,0.0592120,0.0237016,1.1096700,0.0605567,0.0214864,0.1578590,0.0377761,0.0317600,0.0397822,0.0456169,0.0283679,0.0274868,0.0076543,0.0308212,0.0235214,0.0167063,0.0270089,0.0223164,0.0374700,0.0390536,0.0204693,0.0469116,0.0432208,0.7442560,0.0714756,0.0525414,0.0089289,0.0102292,0.0122078,0.0104985,0.0108473,0.1841870,0.1062780,0.1288740,0.1138510,0.0580647,0.0460262,0.0515213,0.0184922,0.0079046,0.0034103,0.0081826,0.0120772,0.0055612,0.0084318,0.0032111,0.0052713,0.0021946,0.0239564,0.0102076,0.0050969,0.0049537,0.0099888,0.0097622,0.0159079,0.0361042,0.0188371,0.0114044,0.0156534,0.0157662,0.0130739,0.0106477,0.0172017,0.0159975,0.0155779,0.0124837,0.0404024,0.0087139,0.0565948,0.0432222,0.0935894
212,"Mining, except oil and gas",0.0127744,0.0023575,0.0028386,1.1214400,0.0051755,0.0193187,0.0195954,0.0078368,0.1427940,0.1411490,0.0364685,0.0228833,0.0054501,0.0316336,0.0198149,0.0143166,0.0140876,0.0167399,0.0113282,0.0092814,0.0045934,0.0213319,0.0051719,0.0044461,0.0131925,0.0119800,0.0014821,0.0019152,0.0022434,0.0018133,0.0022829,0.0023974,0.0063378,0.0043854,0.0031065,0.0023613,0.0023712,0.0034363,0.0034947,0.0014360,0.0009006,0.0035802,0.0041470,0.0008195,0.0016587,0.0006444,0.0010493,0.0010643,0.0088830,0.0040250,0.0011033,0.0010335,0.0036861,0.0021481,0.0023396,0.0074074,0.0042489,0.0026253,0.0031167,0.0032166,0.0039183,0.0037979,0.0080531,0.0030598,0.0047540,0.0041622,0.0031374,0.0034523,0.0033289,0.0032363,0.0223183
213,Support activities for mining,0.0012654,0.0005133,0.0195099,0.0144033,1.0115700,0.0030719,0.0010608,0.0008112,0.0025442,0.0026471,0.0012631,0.0010452,0.0002858,0.0011594,0.0009198,0.0006633,0.0008341,0.0007208,0.0009107,0.0008813,0.0004890,0.0012251,0.0009072,0.0131301,0.0014790,0.0012045,0.0002747,0.0002691,0.0002882,0.0002767,0.0002988,0.0036060,0.0020208,0.0028011,0.0024543,0.0011107,0.0009541,0.0046780,0.0004811,0.0002207,0.0001038,0.0002670,0.0003835,0.0001273,0.0002380,0.0000845,0.0001445,0.0000605,0.0005714,0.0002897,0.0001333,0.0001247,0.0003110,0.0002362,0.0003604,0.0008584,0.0004248,0.0002672,0.0003599,0.0003506,0.0003364,0.0002964,0.0004492,0.0003608,0.0003938,0.0003233,0.0008239,0.0002199,0.0011027,0.0008288,0.0020192
22,Utilities,0.0195464,0.0049697,0.0062577,0.0216300,0.0050445,1.0096500,0.0095204,0.0236576,0.0353837,0.0378984,0.0243006,0.0174152,0.0060030,0.0187614,0.0177484,0.0131562,0.0188721,0.0143242,0.0219570,0.0241159,0.0183726,0.0461030,0.0183809,0.0079309,0.0243089,0.0274034,0.0084468,0.0123948,0.0222989,0.0157877,0.0156441,0.0059948,0.0064696,0.0299238,0.0098199,0.0185485,0.0041908,0.0133541,0.0328700,0.0055313,0.0033931,0.0101478,0.0122159,0.0039094,0.0078500,0.0030150,0.0049294,0.0017325,0.0724086,0.0082468,0.0057159,0.0046543,0.0097783,0.0131114,0.0076175,0.0141685,0.0485957,0.0101333,0.0146842,0.0199332,0.0154845,0.0130910,0.0211868,0.0224167,0.0170061,0.0137632,0.0065240,0.0053977,0.0311659,0.0146834,0.0111835
23,Construction,0.0140299,0.0041462,0.0175622,0.0208668,0.0087846,0.0189468,1.0051200,0.0092137,0.0109456,0.0131164,0.0086417,0.0070871,0.0027140,0.0069005,0.0075765,0.0053777,0.0075933,0.0059966,0.0100046,0.0093329,0.0079685,0.0115971,0.0081901,0.0220495,0.0075399,0.0088004,0.0065413,0.0085116,0.0121039,0.0095721,0.0125099,0.0100318,0.0165776,0.0142055,0.0109838,0.0212912,0.0241034,0.0198500,0.0172925,0.0038643,0.0026846,0.0092544,0.0094429,0.0057390,0.0077831,0.0025423,0.0050098,0.0376681,0.0801903,0.0065413,0.0055217,0.0036020,0.0080039,0.0078758,0.0057519,0.0072744,0.0141309,0.0079748,0.0085141,0.0143723,0.0139245,0.0104895,0.0117568,0.0133661,0.0099218,0.0137235,0.0107618,0.0089693,0.0316431,0.0176671,0.1491490
321,Wood products,0.0054063,0.0060787,0.0011092,0.0036455,0.0023016,0.0013165,0.0308173,1.2799600,0.0075249,0.0075868,0.0053708,0.0082954,0.0024022,0.0071505,0.0127771,0.0043542,0.1256200,0.0120599,0.0055208,0.0050729,0.0038784,0.0485959,0.0055656,0.0013894,0.0030805,0.0128721,0.0033917,0.0025439,0.0050567,0.0021454,0.0033630,0.0014570,0.0231254,0.0022330,0.0029846,0.0017744,0.0017927,0.0034314,0.0030454,0.0019557,0.0018241,0.0032255,0.0137009,0.0009208,0.0017773,0.0007285,0.0010961,0.0026078,0.0056341,0.0078336,0.0010169,0.0008628,0.0023245,0.0016932,0.0031414,0.0033369,0.0022879,0.0019754,0.0023927,0.0020916,0.0062787,0.0020083,0.0040597,0.0059077,0.0074364,0.0025639,0.0016817,0.0015523,0.0031049,0.0036047,0.0065036
327,Nonmetallic mineral products,0.0031542,0.0017446,0.0026332,0.0078649,0.0058551,0.0020030,0.0417310,0.0203242,1.1215400,0.0240022,0.0126920,0.0145654,0.0034864,0.0196024,0.0220310,0.0070622,0.0129472,0.0098658,0.0104739,0.0086275,0.0055190,0.0077085,0.0032691,0.0030324,0.0058692,0.0144478,0.0014354,0.0028107,0.0021239,0.0015156,0.0024925,0.0017000,0.0029611,0.0027144,0.0026033,0.0021777,0.0021024,0.0029798,0.0028115,0.0011860,0.0006718,0.0048489,0.0086785,0.0009411,0.0016998,0.0006941,0.0010779,0.0018719,0.0049224,0.0032331,0.0010209,0.0010379,0.0046448,0.0019259,0.0028453,0.0047868,0.0027821,0.0034097,0.0043658,0.0031668,0.0037811,0.0018281,0.0038794,0.0025921,0.0087907,0.0037626,0.0022759,0.0020063,0.0032192,0.0025336,0.0149915
